name,nobluray,time
旋涡 WEB-DL版下载/漩涡(台) 2021 Vortex 7.5G,蓝光高清,07-13
独自生活的人们 WEB-DL版下载/Aloners 2021 혼자 사는 사람들 5.5G,电影,07-13
开心汉堡店 4K蓝光原盘下载+高清MKV版/开心汉堡店电影版 / The Bob’s Burgers Movie 2022 Bob’s Burgers: The Movie 54.8G,4K,07-13
海兽猎人 WEB-DL版下载/海兽 / 雅各与海兽 / Jacob and the Sea Beast 2022 The Sea Beast 5.0G,蓝光高清,07-13
牺牲 蓝光原盘下载+高清MKV版/Le sacrifice / The Sacrifice 1986 Offret 30.3G,电影,07-10
奇异博士2：疯狂多元宇宙 4K蓝光原盘下载+高清MKV版 / 斯特兰奇博士2 / 奇异博士2：失控多重宇宙(港/台) / 奇异博士2: 失控多元宇宙(港) / Doctor Strange 2 / Doctor Strange: in the Multiverse of Madness 56.46GB,4K,07-08
"阿依达，你往何处去？ 蓝光高清MKV版/突袭安全区(港) / 阿依达的救援行动(台) / 艾达，怎么了？ / 艾达，你往何处去？ / 阿伊达，你往何处去？ 2020 Quo Vadis, Aida? 10.9G",蓝光高清,07-05
当黑夜降临 蓝光高清MKV版/在夜幕降临前 / 黎明不会来 / 夜晚降临前 / 夜幕降临前 2000 Before Night Falls 8.8G,蓝光高清,07-04
欢迎来到车臣 蓝光高清MKV版/沒有彩虹的國度 (台) 2020 Welcome to Chechnya 6.5G,蓝光高清,06-28
王者之路 WEB-DL版下载/崛起 / Greek Freak / 希腊怪物 2022 Rise 13.3G,蓝光高清,06-28
"祝你好运，里奥·格兰德 蓝光高清MKV版 2022 Good Luck to You, Leo Grande 5.2G",蓝光高清,06-20
杰瑞和玛姬生活阔绰 蓝光高清MKV版/杰瑞与玛吉极致享乐 2022 Jerry and Marge Go Large 14.3G,蓝光高清,06-20
恰恰丝滑 蓝光高清MKV版/恰恰真滑 2022 Cha Cha Real Smooth 19.4G,蓝光高清,06-20
天才不能承受之重 4K原盘下载+高清MKV版/超重天才 / 超吉任务(台) / 丧尽癫才(港) / 天才无法承受之重 / 不能承受的天才之重 2022 The Unbearable Weight of Massive Talent 77.6G,4K,06-18
迷失的莱昂纳多 蓝光高清MKV版/迷途的画作 / 迷失的列昂纳多 2021 The Lost Leonardo 9.1G,蓝光高清,06-18
渔港的肉子酱 蓝光高清MKV版/渔港的肉子 / Fortune Favors Lady Nikuko 2021 漁港の肉子ちゃん 6.5G,蓝光高清,06-18
唐顿庄园2 蓝光原盘下载+蓝光高清MKV版/唐顿庄园：全新世代(港/台) / 唐顿庄园电影版2 / 唐顿庄园2：新时代 / 唐顿庄园2：新纪元 / Downton Abbey 2 2022 Downton Abbey: A New Era 45.2G,电影,06-13
公爵 蓝光高清MKV版 2020 The Duke 7.3G,蓝光高清,06-13
小说家的电影 WEB-DL版下载/The Novelist’s Film / So-seol-ga-ui Yeong-hwa 2022 소설가의 영화 5.3G,蓝光高清,06-11
女生们 WEB-DL版下载/女学生 / The Girls / Schoolgirls 2020 Las niñas 6.3G,蓝光高清,06-11
蜂箱 WEB-DL版下载/红椒酱的滋味(台) 2021 Hive 5.0G,蓝光高清,06-11
童年往事 蓝光高清MKV版/The Time to Live and the Time to Die / A Time to Live and a Time to Die / 生死同代 1985 童年往事 12.8G,蓝光高清,06-07
智齿 WEB-DL版下载/Limbo 2021 智齒 5.0G,蓝光高清,06-05
Tinder 诈骗王 蓝光高清MKV版/Tinder 大骗徒 2022 The Tinder Swindler 3.6G,蓝光高清,06-03
大象 蓝光高清MKV版 2003 Elephant 8.0G,蓝光高清,02-20
一次邂逅 蓝光高清MKV版/爱在法国巧遇时(台) / 某种相遇 / 邂遇 / 偶遇 / 量子之恋 / Quantum Love 2014 Une rencontre 9.8G,蓝光高清,02-19
惊声尖叫5 WEB-DL版下载/夺命狂呼(港) / 惊声尖叫(台) / 新版惊声尖叫 / 新惊声尖叫 / Scream 5 2022 Scream 6.1G,蓝光高清,02-19
好老板 WEB-DL版下载/The Good Boss 2021 El buen patrón 5.6G,蓝光高清,02-19
初恋红豆冰 蓝光原盘下载+高清MKV版/Ice Kacang Puppy Love 2010 初恋红豆冰 21.4G,电影,02-18
美味奇缘 WEB-DL版下载 2021 Délicieux 4.6G,蓝光高清,02-17
纪念品：第二部分 WEB-DL版下载 2021 The Souvenir: Part II 7.8G,蓝光高清,02-16
